 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
 112  114      284  70   10.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 117  117      291  73    9.86   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 134  136      308  66    9.39   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 123  123      303  72    9.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 140  141      440  67   12.49   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 123  124      351  68   10.36   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
 137  137      312  67   10.41   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 131  131      292  68    9.46   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 134  136      275  64    9.59   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  88   88      319  63   16.47   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 133  134      383  48   17.17   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  50   51      129  83    4.01   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       17  98    0.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    5       19  99    0.31   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  11   10       23  98    0.41   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  16   17       49  95    1.01   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  10   10       31  97    0.65   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  22   21       55  93    1.19   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  15   15       38  96    0.76   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       32  97    0.82   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  16   17       69  95    0.99   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  22   22       46  93    1.06   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  32   33       69  91    2.09   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  23   22       64  93    1.53   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  22   23       60  92    1.21   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  13   13       35  96    0.88   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  24   24       63  92    1.58   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  19   20       54  93    1.18   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  13   13       35  96    0.84   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  17   17       50  94    1.27   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  31   31       94  90    2.08   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  24   24       68  90    1.78   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  11   12       33  96    0.89   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   5    4       14  98    0.20   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  16   17       28  96    0.60   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  15   15       39  94    0.89   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  13   13       39  97    1.08   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  19   20       50  94    1.06   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  16   16       45  94    0.93   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    8       13  98    0.20   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  23   24       57  91    1.30   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  10   10       31  96    0.58   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  18   18       36  95    1.18   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       33  96    0.73   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  16   17       35  96    0.82   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  31   31       88  89    1.89   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  23   23       59  92    1.34   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  17   18       58  94    1.19   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  32   31       98  89    2.23   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  32   33       73  89    1.84   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  33   33       96  87    2.41   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  22   22       58  93    1.25   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       17  98    0.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  44   45      104  86    2.55   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  41   42      107  85    2.83   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  36   36       87  88    2.39   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    8       16  97    0.47   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  33   33       74  89    1.93   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  19   19       52  94    1.01   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  38   39      104  86    2.65   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  19   19       54  93    1.29   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  26   26       63  91    1.43   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    9       18  97    0.37   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       13  98    0.19   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  14   13       28  97    0.88   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       11  99    0.24   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    5       18  98    0.25   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       13  99    0.05   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    1        7  99    0.02   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       41  99    0.05   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    8       53  98    0.27   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    7       46  99    0.43   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  10   11       54  97    0.35   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  13   13       35  96    0.63   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  12   12       77  94    0.86   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
